Titre,Statut,Assigné à,Progression,Catégorie,Domaine,Priorité,Notes
🔐 Authentification e-mail + mot de passe,✅ Fait,,100,🏗️ Fondations,🔀 Full-stack,,"Better Auth, réinitialisation, limitation de débit"
🧭 Onboarding (choix du rôle),✅ Fait,,100,🏗️ Fondations,🔀 Full-stack,,"Rôle non modifiable ensuite"
🗄️ Modèle de données Prisma,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Profils, instruments, disponibilités, réservations, avis"
🕒 Moteur de disponibilités,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Règles + exceptions, juste au changement d'heure"
🔄 Cycle de vie des réservations,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Machine à états + contrainte anti-double-réservation"
🗃️ Stockage de fichiers (Scaleway),✅ Fait,,100,🏗️ Fondations,☁️ Infra,,"Object Storage S3-compatible, région fr-par (RGPD) ; bucket public (photos) + bucket privé (partitions/audio/comptes rendus) avec URLs signées. Vérifié de bout en bout (upload, EXIF retiré, suppression)"
🔗 Relation prof ↔ élève,✅ Fait,,100,🏗️ Fondations,⚙️ Back,,"Fil persistant indépendant d'un cours (modèle Message) + note privée (TeacherStudentNote). Socle des fiches élèves"
🏠 Page d'accueil,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Hero médaillon gravé animé, searchbar instrument/ville, profs en vedette, titres à fleuron — direction « Bleu conservatoire »"
🔎 Recherche /profs,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Filtres dans l'URL, classement bayésien, indexable, photo du prof dans les résultats"
👤 Fiche prof publique,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"SEO, JSON-LD, créneaux groupés matin/après-midi/soir"
📆 Widget de réservation,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Créneaux réels, demande en quelques clics. Tunnel sans impasse : appel à l'action selon le visiteur (se connecter / créer un profil élève / réserver), retour sur la fiche après connexion (callbackUrl à travers l'onboarding), sélection conservée, squelette, confirmation renforcée"
🎂 Âge sur les profils,✅ Fait,,100,🌍 Public,🔀 Full-stack,,"Prof : âge optionnel sur la fiche publique (opt-in explicite). Élève : âge affiché sur la fiche"
🪪 Ma fiche,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Présentation, instruments, tarif, règles, publier"
🗓️ Disponibilités,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Semaine type + congés, + indisponibilités ponctuelles sur une plage horaire"
📥 Demandes de cours,✅ Fait,,100,🧑‍🏫 Espace prof,🔀 Full-stack,,"Boîte de réception : confirmer / refuser / clôturer ; profil complet de l'élève en un clic"
